"","x"
"214",-0.253568186872043
"215",-0.153839942680659
"216",0.666440053155274
"217",1.06543097275117
"218",0.0431300998969715
"219",-1.12792377285651
"220",0.0632017756597019
"221",0.0666741684256997
"222",-0.0153612738063725
"223",0.0120049518465812
"224",-0.0699975945073023
"225",-0.0787325397135722
"226",-0.153613254179071
"227",4.82970351018887
"228",0.174188913027976
"229",-2.65390429989912
"230",-0.517707098611984
"231",0.012920938215642
"232",-0.281630859638587
"233",-0.104980107531423
"234",0.491004074618436
"235",0.67075457590897
"236",-0.451012441473808
"237",-0.271659045182997
"238",0.142143616634089
"239",0.12197903559569
"240",0.134099668826595
"241",-0.283983524564835
"242",-0.0746232792702291
"243",-0.113064495608389
"244",0.152629762208749
"245",0.0740324934036459
"246",0.0441981780019191
"247",0.0379404873924097
"248",0.028890219684835
"249",-0.0452401552935475
"250",0.0743303906967975
"251",0.460483670340323
"252",-0.344089020816995
"253",0.365748969906596
"254",-0.238301831377363
"255",-0.675564096660879
"256",0.557296082830484
"257",0.392299088492188
"258",-0.0265035562290258
"259",0.443510578585736
"260",0.282957127842964
"261",0.30560700687486
"262",0.286825386795403
"263",-1.00448757027217
"264",1.22263819794521
"265",0.560005905053035
"266",0.19978354910325
"267",0.418858840121955
"268",-0.885448943377403
"269",1.14944606439379
"270",0.504877451205382
"271",2.78981394480962
"272",-2.15949248160132
"273",0.812051612932268
"274",5.13536812222414
"275",1.46226190958348
"276",1.13561724607541
"277",-2.03741852286945
"278",-1.64447761037348
"279",1.15169402555997
"280",0.724272577165098
"281",0.511313793586676
"282",-0.252388302921185
"283",-0.163881951705877
"284",-0.387331168813527
"285",0.0805671555760712
"286",0.121042675115075
"287",-0.172877768787044
"288",0.023751049388207
"289",-0.123153765771995
"290",-0.155582738628088
"291",-0.150199797304534
"292",-0.146547145808796
"293",0.133454809720695
"294",0.16010964790901
"295",-0.0135265995302359
"296",0.073015884252784
"297",-0.0342062954013042
"298",-0.0419046902880354
"299",0.350919710147489
"300",0.0299381974633053
"301",0.0548532134986814
"302",-0.806097621118901
"303",0.084745520323745
"304",0.0684067427082524
"305",-0.283750154060733
"306",1.10722990526591
"307",0.293068324086939
"308",0.329411378529435
