"","x"
"916",126.1
"917",128
"918",130
"919",240
"920",200
"921",128
"922",128
"923",126
"924",127
"925",268
"926",259.95032
"927",269
"928",140
"929",142
"930",268
"931",276
"932",269.95
"933",269.95
"934",274
"935",270
"936",269
"937",269
"938",269
"939",108
"940",127.1
"941",135
"942",279
"943",135.1
"944",268
"945",271.6526
"946",269
"947",274
"948",133.38742
"949",135
"950",136.1
"951",254.95
"952",259.95
"953",135
"954",136
"955",273.5
"956",130
"957",136.2
"958",195
"959",129.6
"960",1
"961",131
"962",0
"963",32
"964",131
"965",189
"966",195
"967",131
"968",32
"969",32
"970",32
"971",35.31026
"972",131
"973",132.3
"974",131.5594
"975",125
"976",140
"977",131
"978",140
"979",245.00026
"980",259
"981",259
"982",264
"983",264
"984",259.95
"985",259
"986",259
"987",259
"988",259
"989",255
"990",255
"991",139
"992",139
"993",117
"994",259.95
"995",262
"996",139.01
"997",126.1
"998",111
"999",111
"1000",134.9
"1001",134.9
"1002",139.01
"1003",138
"1004",135.5
"1005",122.1
"1006",92.98794
"1007",135.1
"1008",139.01
"1009",210
"1010",259.95
"1011",210
"1012",209.5
"1013",140
"1014",138
"1015",138
"1016",199
"1017",199
"1018",136
"1019",136
"1020",209.9
"1021",210
"1022",205
"1023",138
"1024",170
"1025",220
"1026",229
"1027",208
"1028",208
"1029",208
"1030",208
"1031",208
"1032",208
"1033",208
"1034",208
"1035",208
"1036",208
"1037",208
"1038",142.5
"1039",208
"1040",210
"1041",142.5
"1042",250
"1043",270
"1044",264.26
"1045",261.48
"1046",141.2
"1047",125
"1048",138.05
"1049",138.05
"1050",141.01
"1051",141.01
"1052",142.5
"1053",138.05
"1054",133
"1055",2
"1056",138
"1057",138.05
"1058",197
"1059",137.1
"1060",136
"1061",110
"1062",136
"1063",136
"1064",136
"1065",136
"1066",136
"1067",135
"1068",134
"1069",135
"1070",120
"1071",128
"1072",136
"1073",131.7577
"1074",141
"1075",208
"1076",208
"1077",208
"1078",249.9799
"1079",249.98
"1080",249.98
"1081",249.9801
"1082",217
"1083",217
"1084",214
"1085",212
"1086",142
"1087",142
"1088",212
"1089",228
"1090",228
"1091",228
"1092",228
"1093",214
"1094",214
"1095",214
"1096",142
"1097",208
"1098",208
"1099",138.01
"1100",134
"1101",134.47536
"1102",155.7
"1103",137.5
"1104",137.1
"1105",135
"1106",135
"1107",135.1
"1108",132.15
"1109",132.15
"1110",132.1
"1111",132.15
"1112",132.15
"1113",195
"1114",137.1
"1115",137.1
"1116",138.01
"1117",210
"1118",210
"1119",137.5
"1120",275
"1121",132.1
"1122",125
"1123",296.70013
"1124",338.75
"1125",377.75
"1126",377.75
"1127",488.75
"1128",458.75
"1129",663.75
"1130",3763.75
"1131",3013.75
"1132",161
"1133",2900
"1134",180
"1135",180
"1136",3250
"1137",685.98
"1138",4005.98
"1139",4005.98
"1140",4035.98
"1141",3435.98
"1142",182.25
"1143",178.5
"1144",178.5
"1145",180.25
"1146",180.25
"1147",259
"1148",165
"1149",163.6
"1150",135.2
"1151",165
"1152",168.60805
"1153",190
"1154",176
"1155",145
"1156",160
"1157",159.25533
"1158",158
"1159",158
"1160",155
"1161",155
"1162",155
"1163",160
"1164",159.01
"1165",159.01
"1166",160
"1167",159.01
"1168",362.04062
"1169",111.17
"1170",326.5098
"1171",465
"1172",474
"1173",465
"1174",474
"1175",474
"1176",475
"1177",488.9057
"1178",485
"1179",460
"1180",460
"1181",472.8828
"1182",483
"1183",538
"1184",538
"1185",167.05
"1186",553.75
"1187",576.68
"1188",166.59747
"1189",166
"1190",165.5
"1191",600
"1192",167.4
"1193",167.4
"1194",167
"1195",260
"1196",151
"1197",151
"1198",152
"1199",100
"1200",165.6
"1201",167.25
"1202",167.35
"1203",215
"1204",167.25
"1205",167.25
"1206",165
"1207",157
"1208",152.5
"1209",160.1
"1210",160.1
"1211",160.1
"1212",210
"1213",220
"1214",220
"1215",285
"1216",290
"1217",104
"1218",161
"1219",136.38184
"1220",269.95
"1221",290
"1222",142
"1223",142.1
"1224",116.20218
"1225",250
"1226",161.2
"1227",145
"1228",150
"1229",142
"1230",152.25
"1231",249
"1232",244
"1233",160
"1234",242.5
"1235",239.5
"1236",238.5
"1237",238
"1238",237
"1239",76
"1240",157.70079
"1241",225
"1242",158
"1243",153.1
"1244",221
"1245",221
"1246",218
"1247",216
"1248",137
"1249",208
"1250",211.27164
"1251",110
"1252",110
"1253",132.1
"1254",146.14
"1255",129.01
"1256",125.94
"1257",129.2
"1258",135.57
"1259",216
"1260",217
"1261",217.5
"1262",230
"1263",230
"1264",230
"1265",153.1
"1266",230
"1267",230
"1268",230
"1269",235
"1270",235
"1271",230
"1272",220
"1273",220
"1274",145.05
"1275",145.05
"1276",145.05
"1277",145.05
"1278",145.05
"1279",147
"1280",155
"1281",156.5
"1282",282.24
"1283",302.7697
"1284",313.8013
"1285",296.14
"1286",352.35
"1287",354.14
"1288",345
"1289",263.94998
"1290",276
"1291",234.95
"1292",220
"1293",158
"1294",155
"1295",157
"1296",156
"1297",158
"1298",272.53452
"1299",158
"1300",148
"1301",148
"1302",148
"1303",158
"1304",148
"1305",233
"1306",158
"1307",158.5
"1308",158.5
"1309",158
"1310",158.05
"1311",283.2
"1312",300
"1313",276.37595
"1314",158.55
"1315",274.76
"1316",158.5
"1317",259.95
"1318",241
"1319",240
"1320",160
"1321",159.5
"1322",159.07
"1323",158.5
"1324",158
"1325",158
"1326",159.5
"1327",159.5
"1328",159.61594
"1329",162.5
"1330",231.9
"1331",231.99
"1332",231.99
"1333",204.05
"1334",230
"1335",230
"1336",230
"1337",160.1
"1338",224.95
"1339",224.5
"1340",223.95
"1341",223.95
"1342",223.95
"1343",222.5
"1344",223.95
"1345",223.95
"1346",223.95
"1347",224.95
"1348",223
"1349",223
"1350",223
"1351",223
"1352",210
"1353",112
"1354",110.87
"1355",138.17
"1356",235.95
"1357",235.95
"1358",245
"1359",245
"1360",275.95
"1361",239.95
"1362",257.95
"1363",230
"1364",234.9
"1365",234.9
"1366",226.6
"1367",225
"1368",137.35
"1369",86.01893
"1370",86
"1371",90
"1372",86.1
"1373",86.1
"1374",86.5
"1375",86.6
"1376",86.5
"1377",86.6
"1378",224.95
"1379",240
"1380",244.5
"1381",244.5
"1382",240
"1383",92.2
"1384",142
"1385",240
"1386",240
"1387",238
"1388",234.61514
"1389",240
"1390",230
"1391",230
"1392",90.25
"1393",90.1
"1394",200
"1395",220
"1396",220
"1397",220
"1398",220
"1399",225
"1400",220
"1401",90.5
"1402",100
"1403",220
"1404",225
"1405",231
"1406",273.38834
"1407",264.95
"1408",195.38992
"1409",277
"1410",278
"1411",146
"1412",150
"1413",150
"1414",150
"1415",150
"1416",150
"1417",146.1
"1418",146
"1419",150
"1420",150
"1421",151.1
"1422",151.1
"1423",151
"1424",147.1
"1425",146
"1426",210
"1427",220.9
"1428",20
"1429",228
"1430",148
"1431",131
"1432",226
"1433",235
"1434",238
"1435",250
"1436",228
"1437",228
"1438",131.21
"1439",0
"1440",-16.25
"1441",-8.52
"1442",232
"1443",232
"1444",100
"1445",-17.06
"1446",-30.25
"1447",-48.76
"1448",-40.6
"1449",232
"1450",232
"1451",230
"1452",230
"1453",230
"1454",230
"1455",160
"1456",227.63
"1457",148.5
"1458",229.67
"1459",125
"1460",125
"1461",238
"1462",155
"1463",238
"1464",155.05
"1465",238
"1466",150.05
"1467",150.05
"1468",238
"1469",240
"1470",240
"1471",240
"1472",245
"1473",160
"1474",300
"1475",245
"1476",280
"1477",263.43445
"1478",243
"1479",243
"1480",155
"1481",149
"1482",149
"1483",211.3487
"1484",146
"1485",190
"1486",187.5
"1487",166.29
"1488",157.48
